句子,过渡句,交互句,其他
好，我现在在一个关系模式里面存在x函数决定yy有函数确定什么啊。,0,0,1
那么x和z之间有没有这样传过去的这个关系？,0,0,1
呢我们说还,0,0,1
不像这个数学那么简单，它有一个前提非常重要，啊我们在判断的时候它有个前提是这个歪，反过来,0,0,1
不能函数确定x的情况下，如果存在这样一种,0,0,1
关系，那么x和z之间是一种什么？,0,0,1
还是原来呢是一种传递的？T啊是一种传递的函数依赖关系，也就是说y是依赖x的，,0,0,1
z要依赖y对不对？在x不依赖y的情况下，z变成依赖于x它本来依赖于y的，,0,1,0
是吧？它依赖于x啊是这样一种传递的关系，啊传递的传递，呢但是在这个里面有个传递，有没有？,0,0,1
学好决定系嘛系是不是要决定系，这个嘛这个是xyz我们来看前提，慢慢就,0,0,1
前提是这个不能传输给你，给另一个系是不是只有唯一一个学号？不是。,0,0,1
那么满足这个嘛给另一个系，它不是只有唯一一个学号嘛对不对？也就是说系不能函数确定,0,1,0
学号这种前提下，学号和系数名之间它是有一种传递的还是有点关系，,0,0,1
对吧？唉也就是说这个系数呢它间接的通过系来依赖于什么？对方啊,0,1,0
冷却，哈所以x确定yy确定g反过来y不能确定x它们之间,0,0,1
是依赖关系，啊就是这样啊细则名传递函数依赖于学号。,0,0,1
好了，一个关系模式里边，如果一个关系模式，它存在于对于马克思,0,0,1
函数啊传递的函数未来关系，,0,0,1
我们说他是不满三个字，也就是说你要使他能够达到三分之，,0,0,1
你必须在一个关系模式消除掉传递，对吧？分开应该还是还是不能相互依赖，是不是？,0,1,0
那么到这里为止，所有的函数依赖关系再梳理一下，啊,0,0,1
可以有的还是要你关系模式里边我们讲了有什么？有平凡还是来非平凡还是可以，,0,0,1
部分的函数依赖完全还是好，这些人都把它理解啊来理解，这个,0,0,1
其实花不了多长时间是吧？你把它理解，,0,0,1
而有了这个以后，我们再来看后学嘛或许马虎之前给大家抢过是吧？,0,0,1
我就说没有提供更好，,0,0,1
我们现在用函数依赖关系来定义它，用函数依赖关系来定义它，很简单，就这样的事实让大家能看懂啊,0,0,1
这个地方 K这个地方的k满足这样一个关系，它就是后天嘛首先我们看k是什么？,1,0,0
黑是这个关系模式里边的一个属性或者是属性组合，对不对？唉反正是属性，啊,0,1,0
它满足这样的关系有两层意思。大家看看啊看我说的对不对？第一层意思就是说我把k的值给定，,0,1,1
那么这个u就被唯一确定了，,0,0,1
这是孩子遇到关系的嘛对不对啊？唉那么这个优是什么？这个优是不是它的每一个属性？,0,1,0
嘛,0,0,1
也就是说这个关系模式的一行被确定了吧唉给定k的值，这一行被确定正满足这个,0,0,1
货品码的一个唯一性码，但是这个货品码还有一个性质，就是它一定是能够唯一确定一行的最小的组合，,0,0,1
是不是什么叫最小的组合？呢他就用这个完全他推了，所谓完全还这样，就是他对他的依赖，,0,0,1
每一个属性对它的依赖，它是完全的依赖，也就是说在这个里边它如果有属性组合的话，,0,0,1
我去掉任何一部分都不行，吧,0,0,1
我去掉就是一部分，它就不能完，就不能函数决定它了，嘛对不对？因为它对它是完全利润，它不是部分的利润。,0,1,1
如果他对他仅仅是部分韩剧院，那么他这里面还可以去掉一份，他还可以决定他是不是这样，,0,0,1
他这个不能去掉了，那么它就是一个最小的,0,0,1
所以这个是后天满足这样一个条件，可以能够完全的含住确定，哟,0,0,1
啊就是优质代表所有的需求。,0,0,1
如果是部分的，你看k这个上面是部分含税率，啊它就不是后续嘛,0,0,1
他就是抄嘛啊为什么是抄？嘛啊为什么抄？嘛大家想一想看这个想想出来没有？啊,0,2,0
之前。,0,0,1
这一张是对我们将来以后出去以后啊去开发这个数据库是很有帮助的。但是我们进行,0,0,1
啊数据库设计，我们该从什么地方入手，啊该怎么上手。啊,1,1,0
首先我们看一下关于数据库设计的一个概述，啊,1,0,0
数据库设计它是指啊对一个给定的应用环境，就是,0,0,1
比如说一个企业一个学校或者一个医院啊一个给定的应用环境，,0,0,1
我们来给它构造设计一个优化的数据库，物理模式和,0,0,1
逻辑模式，啊并且啊根据这个呢我们来建立作用后续的,0,0,1
就是应用系统，啊能够有效的存储和管理数据开发数据库的目的，,0,0,1
注意啊它是对信息系统做一个支撑的，它主要是有效的存储和管理，满足各种用户的,0,0,1
需求嗯这个需求，包括什么呢信息管理的要求,0,0,1
和数据操作的要求。,0,0,1
信息管理要求就是说你这个数据库里边你该存储哪些数据，,0,0,1
对不对？你说我们要开发数据库，这个数据库里,0,1,0
对于这个应用领域啊对于这个企业来说，它应该包括哪些数据？呢第二个呢是对数据操作的要求，,0,0,1
就是这个企业你给他建好之后，他对这个数据会做哪些操作？那么我们说,0,0,1
对数据操作无非是查询操作更新操作更新，包括增删改还有统计。,0,0,1
这个,0,0,1
好，我们来看一看啊这个数据库设计的目的是什么？呢啊我们说它是要,0,0,1
啊为用户和应用系统提供一个信息基础设施，信息基础设施就是一个库，,0,0,1
对不对和高效率的运行环境，所谓高效率运行环境就是说,0,1,0
你有一个库，你对数据的存取的这个效率一定是要高才行，对吧？,0,1,0
对于这个存储空间的利用率要高啊要尽量高，,0,0,1
然后这个整个数据库系统运行管理的效率高，这是我们的目的。,0,0,1
啊,0,0,1
好，数据库设计的特点，我们要把握一下，啊这个是它的特点，这句话很重要。啊,0,0,1
我们家出去以后你去设计数据库开发数据库，那么对于数据库设计什么最重要？我们说技术,0,0,1
并不重要，啊3分技术7分管理，12分的基础规律。,0,0,1
所以最重要的是基础数据对于数据库设计而言，嗯也就是说你应该收集,0,0,1
哪些数据，啊把收集整理以后，然后你还要对它进行组织，就是,0,0,1
所谓的建模嘛是不是啊构成什么样的结构，啊我们现在用个关系模型嘛对吧？关系模型其实就是二维表，,0,1,0
它的模模型就是关系模式，嘛你怎么设计，对不对？每一个表的关系模式，啊,1,2,0
这个是很重要的，这个很重要。,0,0,1
那么技术是成熟的是吧？拿来实现就可以了。我们当然我们,0,0,1
对是开发数据我们都是用成熟的技术管理，呢啊我们说指的是这两个部分，啊,0,0,1
一个是本身你这个数据库开发的这个项目的管，第二个就是你所,0,0,1
涉及到的这个应用领域，比如说是一个企业，啊,0,0,1
那么这个应用领域的业务管理，如果是一个企业，就是企业的业务管理是学校是学校的业务管理，,0,0,1
嗯医院那么就医院的这个硬化。,0,0,1
嗯我们再来看啊数据库设计的,0,0,1
一个很重要的特点是什么？呢它是啊数据库设计是静态的结构设计和动态的行为设计,0,0,1
叫做什么？呢就是相辅相成，的一个过程啊相辅相成，,0,0,1
静态的结构设计就是这个库里面的数据啊库里面的数据的设计,0,0,1
啊来建模啊它的这种结构的设计，我们说是静态,0,0,1
啊静态，然后动态的行为设计呢就是对这些数据我要做一些什么操作和处理，对不对？,0,1,1
唉这个是要设这个就涉及到编程对不对？啊涉及到编程。,0,1,0
我们说传统的软件工程，实际上,0,0,1
我们说数据库的开发也是属于软件工程的啊传统的软件工程，嗯还，,0,0,1
当然现在还没有开这个课，后续要开，的啊后续要开,0,0,1
那么它是比较偏重什么？呢偏重行为设计。我们这种软硬工程它基本上就是怎么,1,1,0
怎么来用软件来编程呢噢开发界面，呢啊比较偏重这个方面，是不是？啊,1,1,0
唉而早期的数据库设计呢又比较偏重于仅仅是静态的结构，就是数据库的这个,0,0,1
数据的折扣的设计对吧？,0,1,0
而现在的数据的设计我们是不仅仅要重视数据库建还是，,0,0,1
也要对这个行为设计，就是相应的一些个编程实现一些功能，对不对？,0,1,0
啊我们实际上在第8章我们要会讲到，比如说嵌入式的时候，啊还有这个啊存储过程,0,0,1
和这个触发器对不对？存储过程就是要编程的，嘛相当于我们是一员。,0,1,0
这个过程啊好，这个图就说明了在数据库设计里面，呢啊我们,0,0,1
一条路是静态结构设计，啊静态结构设计就是对数据库里面的结构。,0,0,1
我们从数据分析开始，,0,0,1
先这个库里面属于建立概念模型，再把它转化为逻辑模型，,0,0,1
像我们的就是关系模型对吧？对。,0,1,0
啊到物理结构的设计，就是这关系模型怎么存，呢存储结构是什么，存取方式是什么？唉,1,1,0
然后我们还有必要设计一些子模式，就是比如说在表的基础上建立视图啊对不对？啊根据用户的需要进行,0,1,2
来建静态结构设计，最终是建立一个数据库对吧？,0,1,0
把数据组织好嗯,0,0,1
有一定的结构，那么动态的呢啊就是对用户的数据处理，,0,0,1
也就说，你这个数据库系统应该具备哪些功能是吧？它是要进行功能分析，然后进行,0,0,1
功能模模型的这个,0,0,1
设计，啊那么它的功能来实现的话，我们说在数据库里边对数据的处理，,0,0,1
啊我们是用以事务为基本单位啊数据的处理。,0,0,1
还记得我刚开学的时候，啊那个课上给大家讲过一个转账事务，吧,0,0,1
银行转账是啊在数据库里边一个事物，它是由若干,0,0,1
啊各个基本操作组织，数据库的基本操作是什么？查询，插入数据修改数据删除对不对？,0,1,0
好，一个银行转账数,0,0,1
它是由什么基本操作？那是从a账户转到b账户，那么转1000块钱，那么a账户,0,0,1
要减1000对不对？这个属于什么操作？啊修改操作对了，唉他的余额减1000，b账户的,0,1,0
这个月要加一些什么操作？修改就是他两个修改操作是吧？说的那个100构成一个转账数，,0,0,1
啊它为什么以事物为基本单位？,0,1,0
就是这个事物是一个整体，,0,0,1
如果这个事物里边的某一个具体的操作没有执行成功的话，那么整个这个事务是不提交的，,0,0,1
啊就是没没相当于没做对不对？你想想看我如果在,0,1,0
 a的余额上面减了1000，我b的上面不加1000，b上面加1000没有成功的话，这个转账事务算不算成功？啊,0,0,1
不算成功对不对？唉所以他的这个,0,1,1
一个事物它可以包含若干条操作的，但这若干条操作是完成一个一个整体的一个,0,0,1
功能，是不是啊我们把它做成一个事物，啊要进行事物设计，哪些操纵构成一个事物是吧？,0,0,1
完了以后我们要做应用设计，啊做应用开发就是大一点的程序，是不是啊编程，,0,0,1
唉然后呢,0,0,1
开发这个设备开发应用系统，包括我们这个在数据上开发这个用户的界面也属于是吧应用系统，,0,0,1
然后还要进行调试，这个这个现象来是动态的行为是,0,0,1
下面我们就来看第一个阶段啊需求分析阶段，我们今天可以开个头哈需求分析解决。,1,0,1
第一个阶段需求分析阶段，大家后续你们要学到管理信息系统啊这些课的时候，,0,0,1
那么你要开发一个信息系统，它也是要做需求分析啊那这个阶段，,0,0,1
大家看啊我说了每一个阶段要掌握什么？第一你要做什么？就他的任务是什么？对吧？,0,1,1
第二它的方法是什么？第三它要得到什么？啊我们先来看它的任务是什么，啊需求分析,0,0,1
嗯它的这个重要性，我刚才说了，它是整个数据库设计的起点啊很重要，,0,0,1
嗯他做的好不好，嗯他就是要了解用户的需求，那么他做的好不好，直接影响了后面的设计，,0,0,1
也就说后面你设计的再好，但是你不符合用户的需求那也没用，是不是？,0,0,1
啊所以说,0,0,1
嗯是否准确的反映了用户的实际要求，它将直接影响到后面各个阶段是嗯,0,0,1
影响到设计结果是合理。,0,0,1
好，我们来看他的任务啊他的任务就是,0,0,1
详细的调查现实事件要处理对象，,0,0,1
一个建设领域，一个企业、一个医院、一个学校，我们要对这个应用领域进行,0,0,1
详细的调查啊详细的调查。嗯严，,0,0,1
我记得这个毛爷爷有一句话啊很经典，就是你要知道李子的滋味，,0,0,1
你就得怎么？,1,1,0
就是我们吃的那个鼻子，你就得亲口尝一尝，对不对？这个毛也说的。嗯那么,0,1,0
唉我们要为这个业务领域去做这个系统，你必须得深入到这个应用里去。啊,0,0,1
第一个我们要了解原系统是一个什么状况，这个原系统有两种情况，一种情况，就是,0,0,1
有的企业它从来没有建立过这个计算机系统，啊没有信息系统，那全部都是手工方式。,0,0,1
唉,0,0,1
那么原系统就是手工系统，那你要了解它的手工的一些业务,0,0,1
流程，啊唉从里边找到一些用的一些什么数据啊是吧？,0,0,1
唉还有一种情况下，,0,0,1
他原先他原来做过啊原来做过，但是那个时候啊唉你像我们很多在给像,0,0,1
了解你给钱江市做这个啊这个社保系统，啊嗯他们是各个各个局部地区做的，这个,0,0,1
社保系统它用的这个数据当然都是小型的人数，但现在国家有个大屏已经把它这个,0,0,1
大平台就要嗯大平台我们都是儿科大学生，,0,0,1
就把它原有的数据来进行啊清理，啊把它加载。,0,0,1
你在加载的清理的同时，它每天还有不断的有新数据，这个就需要,0,0,1
这样一些工作，啊就是你要了解原系统的工作情况，然后要明确用户啊目前的这个,0,0,1
需求，在这个基础上确定新系统的功能，那么而且这个新系统，我们做的数据库系统它不是一个,0,0,1
啊他必须要考虑今后啊他要进行扩充，,0,0,1
啊甚至某一个地方要进行改变的这样。,0,0,1
好，进一步来说，刚才我们说的需求分析我们要做什么？,0,0,1
进不来说，我们把它归结为两点，啊就是说你要了解原系统和新系统是这样,0,0,1
的，用户的需求原系统是个什么状况，新系统用的是那么所谓的用户的需求，我们说,0,0,1
就分这三个方面，啊一个是啊我们称为数据需求，啊它称为信息需求，,0,0,1
唉实际上就是数据需求，就是在数据库中到底要存储哪些数据？,0,0,1
下面我们来看方法是什么，你怎么去做调查研究，怎么去了解需求，啊你采用的方法是什么？,3,2,0
采用的方法呢这个地方我们要给大家讲啊这个是嗯我们在,0,0,1
做需求分析的时候，我们有一个叫做事实发现技术啊我们可以采用的手段，啊,0,0,1
书上他没有这样提，但是他实际上说到了啊叫做事实方面，这个对于我们将来大家,0,0,1
啊学这个信息系统的时候啊说得很深，啊其实很简单，啊事实发现技术有这么几个常用的，啊,0,0,1
第一个第一个我们可以怎么去了解用户的需求，我们可以采用面谈的方式啊面谈，,1,1,2
对这个领域里面，比如说一个企业不同的用户啊给企业的主管，分公司的经理，,0,0,1
普通的资源，那么这些不同的用户你想想他将来用这个数据库的时候，他所关心的数据,0,0,1
可能是不一样的，对吧？,0,1,0
也就是说公司的主管他肯定是要全面的了解这个公司的这个情况，啊比如说这个,0,0,1
唉人员的情况或者整个销售的情况或者怎么是吧？唉,1,1,0
那么分公司的经理他肯定只关心他这个分公司的团队情况，,0,0,1
一般的职员的话，我们说他用这个数据，他他只是在他的工作范围内是吧？涉及到的，就是,0,0,1
所以你要分别对这些用户进行面谈，了解他们的需求,0,0,1
啊以及他们的这个业务操作。,0,0,1
第二种这个事实发现技术，呢,0,0,1
就是说假设你一个一个面谈，你没有这么多时间，是不是啊你可以怎么样？啊,1,1,0
可以把它们集中起来，是不是啊开什么？座谈会是吧？唉集中起来，,0,0,1
就是把这些人集中起来，完了以后围绕一些个主题是吧？来进行,0,0,1
了解啊用户有些什么需求，有些什么要求建议和意见，是不是？,0,0,1
啊,0,0,1
但是这个座谈会就需要大家对于我们设计人员来讲你就要,0,0,1
对这个状况有一个把握，起码你事先要有一个提纲对不对？然后在谈的过程当中要围绕,0,1,1
所以说开玩笑，就像我们这个院里的老师有时候开会的时候开着开着就扯到东南西北去了是吧？,0,0,1
唉时间也花了，这个没说到点上那就不行，是不是？,0,0,1
唉你看我们看央视有些访谈，就,0,0,1
他有些做的好的，有些做的好的，第一他的问题提的相当尖锐，不是没用是吧？,0,0,1
唉第二，他是前期要做功课的，是不是？啊所以嗯,0,0,1
这个座谈会的方式啊注意，这是第二种。第三种就是说假设这些人都没有,0,0,1
啊不好集中，啊没有这个共同的时间，那么我们还可以采用的这个手段是什么？呢我们可以采用什么？,0,0,1
这个大家经常也做，,0,0,1
就是调查问卷的方式吧我们采用调查问卷的方式来了解用户的需求。,0,0,1
啊,0,0,1
那么这个调查问卷,0,0,1
该怎么设计是有讲究的，我们说调查问卷我不知道大家做过这个没有，你是不是随便的再写。,1,1,0
那个那个,0,0,1
我们在那个考那个系统分析员的那个那个书里面，呢就是关键他有专门,0,0,1
怎么来设计一个调查问卷，啊包括哪些问题唉放前面，哪些问题放后面，,1,1,0
啊他他还是有，还有就是你在呃问这个问题要这个用户去回答的时候，我们说一般,0,0,1
唉有这么两种方式就是说一个是你给出这个问题对不对？给出这个问题以后，我下面不给答案，那就是说,1,1,0
唉你每一个用户你按照你自己的理解，你来回答这个问题对吧？这是一种方式。,0,1,0
还有一种方式就是我给出问题，,0,0,1
我把答案用abcde对吧？给出，那么这个用户只能在我的这个答案范围内，就是,0,1,0
我要让用户你的答案不要超出我的几个选项，是不是啊他在里面去勾，那也是有关系。,0,0,1
第4种方式呢我们说唉还可以通过叫做什么？查阅,0,0,1
文档啊来了解用户的需求，,0,0,1
查阅相关的文档，包括什么？呢比如说到企业，唉他的每一次开会的会议记录，,0,0,1
啊你都可以找到一些比较熟悉的数据，了解他的业务，还有他的一些电子邮件，,0,0,1
啊电子邮件，甚至一些报表，啊企业里面报表都可以进行查阅，啊除了这些相关文本以外，我们说,0,0,1
你还可以查你的这个应用领域里边相关的一些期刊杂志，,0,0,1
啊了解这个行业里边最新的动向和技术，啊这个也,0,0,1
啊因为对你设计这个数据，最后一个我们说可以采用,0,0,1
实地观察，啊就是有些,0,0,1
啊通过这些手段可能了解的这个收集数据不是很全，有些呢用户也表达不出来，啊查也查不到，那怎么办？,1,1,0
呢,0,0,1
就啊到实地去观察，啊你比如说你要到医院为他做这个,0,0,1
啊数据库系统，他们你就到医院去啊实习，,0,0,1
实习个两周，跟着他们医生呢这个护士啊跟他们上下班，他们做事情就跟着啊看他们,0,0,1
这个做一些什么工作，从中啊来找到你所需要的一些、,0,0,1
数据、啊一些运营、这个流程，啊这个我们把它称为事实发现技术。,0,0,1
那么有了需求分析的数据字典，啊有了需求分析报告以后，而且我们和用户,0,0,1
啊沟通以后，啊对呃这个我们所收集到的这个数据嗯,0,0,1
呃有了比较明确的啊明确的这个描述，,0,0,1
唉建立了相应的文档以后，我们进入到第二个阶段啊就是概念问题。,0,0,1
那么概念结构设计阶段，大家想一想它的任务应该是什么？呢概念结构就是一个,0,0,1
数据库的概念结构，就是一个概念模型，嘛,0,0,1
对不对？啊所以在这个阶段里边他的任务,0,1,1
啊用简单的一句话来说，就是要为这个数据库构建一个概念模型，啊构建一个概念模型。,0,0,1
好，我们来看一下屏幕啊这个将需求分析得到的用户需求，,0,0,1
抽象为信息结构，将用户需求抽象为概念模型，这是我们的任务啊我们要做的工作。,0,0,1
那么这个过程就是概念设计，哈那么这个它的特点呢我们说在建立概念模型的时候，我们是,0,0,1
啊一个是要求这个模型一定要能和啊真实的反映现实世界，是吧？要,0,0,1
这个模型是对现实世界的一个描述啊，,0,0,1
他要啊能够很,0,0,1
真实的充分的反映这个现实是再一个呢依据理解，因为你是要用这个模型,0,0,1
和用户进行沟通的啊和用户进行沟通，所以实际上我们前面看过这个呃概念模型，它就是12，,0,0,1
对不对？标图应该还是很好懂是吧？,0,1,0
它里边的元素也就不多，就那么几种，啊再一个予以更改。,0,0,1
啊就是你和用户沟通了以后，我们说是呃有些是要根据用户的需求啊进一步进行修改，,0,0,1
最后一个这个模型啊要很容易向什么？呢向数据模型转换，,0,0,1
数据模型里边这个这两个我们都非关系，我们现在不用了是吧？那么像数据模型就是像关系模型，,0,0,1
像关系模型转换就是转化为关系模式对不对？关系模式我们把它实现不就到没表，,0,1,0
一个库就建好是吧？唉那么这个向数据模型转换是我们,0,0,1
再下一个阶段就是逻辑结构设计阶段，我们要做的是对吧？这是呃所谓的概念模型，,0,1,0
特点啊它的特点。,0,0,1
那么方法是什么？啊任务是建立一个概念模型，方法是什么呢？,0,0,1
就是我们要借助于这样一个工具，就是一r图，就是实体,0,0,1
联系对吧？唉实体联系。啊,0,1,0
好，因此我们来看看这个一r模型，我们该怎么来用工具来描述。呢啊,1,1,0
啊我们在前面第一章概述的时候，我们就说过，啊我们说过在,0,0,1
信息层世界啊信息世界这个层次上面，我们是用这个概念模型来描述，那么,0,0,1
它对应于现实世界的人事物或者客啊客观概念，,0,0,1
它都是用一个实体，用一个矩形框表示，啊,0,0,1
而且实体之间是存在有联系的，对吧？,0,1,0
我们说过一对一一对多和多对多。,0,0,1
那么我们也举过例子，啊比如说一对一的情况，这里再来啊复习一下,0,0,1
实体班级和班长，正的啊正的班长班级和班长是两个实体，啊,0,0,1
这两个之间是一个什么关系？呢一个班级,0,0,1
只有一个班长对吧？反过来一个班长对应于什么？一个班级，啊,0,1,0
一对一的联系，那么一对多的联系，比如说班级和学生，这是两个实体，,0,0,1
一个班级有多个学生对应多个学生，嘛反过来一个学生只对应一个班，,0,0,1
这个是一对多啊反过来是一。,0,0,1
啊,0,0,1
好，那么多对多情况这个大家很熟悉了，比如说学生和课程这两个事情，一个学生可以选,0,0,1
多门课，唉反过来一门课又可以为各位学生学对吧？多练多的联系。,0,1,0
啊,0,0,1
好，大家看在第二图里面我们是这样来画啊这样来描述，,0,0,1
分两个形式，啊然后这个菱形代表它们之间的联系，,0,0,1
这个联系可以取取名，哈这个名字取的时候呃就是说尽量能够使,0,0,1
看的人能够,0,0,1
懂这个意思，啊懂这个意思。,0,0,1
然后这两边呢标上联系的问题，啊你比如说,0,0,2
我们说班级和学生之间是一对多，那么班级应该是作为哪个实体，是实体a还是实体b啊嗯，,0,0,1
班级应该是放在一方对不对？唉学生是多方是吧？唉,0,1,0
好，我们再来看两个以上的实体，两个以上的实体共用一个联系，啊,0,0,1
这种情况下我们也见过啊没见过，比如说我们在,0,0,1
啊第二章后面那个习题里面就有一个SP JC表对吧？嗯有供应商项目和零件，,0,1,0
它是多对多的联系，啊 Mp,0,0,1
嗯两个实体数字mn是吧？,0,0,1
三个MP，我们在前面两班啊有同学在,0,0,1
我们在课堂上练习画的时候，他没有按这个啊来，他是用m1m2啊 m3这样，,0,0,1
我们说我们还是按照这个规范要求，啊这样这样啊,0,0,1
好，一个供应商可以为多个项目提供不同的零件是吧？,0,0,1
唉反过来一个项目也可以被多个供应商供应不同的意见，嗯那么嗯,0,0,1
那么一个零件也可以被多个供应商为不同的项目,0,0,1
供应供应嘛是供应，唉这个呢这个地方是100多，哈这个怎么理解？,1,1,0
一门课程,0,0,1
可以由多位教师来解，对应多么多本参考书是吧？那反过来一个教师只能什么？,0,0,1
一个教师只对应什么？一门课程一门课程可以被多个教师讲，啊这个意思。,0,0,1
啊后面比如说我数据库的课，我可以有三个老师讲，但是每一个老师成了，我只能讲一门课，我只能讲数据库，,0,0,2
我还不能讲,0,0,1
行好，也就说一本参考书对应一门课程，但是一门课程也多，本参考书对吧？,0,1,1
唉这个这个好理解吧？,0,0,1
唉好，那么除此之外，我们说在液压图里边还是存在这样一种现象，,0,0,1
就是说单个实体之间它有一种自身的理性，比如说职工职工的话，,0,0,1
它里边有领导是吧？领导他也是职工啊对不对？那么,0,1,0
他这个领导与其他职工之间的关系是一个一对多的关系，就是他领导他的职工，嘛,0,0,1
唉这是啊一个事情是这样的。,0,0,1
好，这里我们就给大家一个一个这个,0,0,1
术语吧啊或者概念，就是联系的度，还记得我们讲过啊和度有关的是什么？,0,0,1
关系的度对吧？关系的度是它的属性的什么？个数啊属性的、个数，,0,1,0
那么联系的度是什么意思？呢就是和这个联系相关的参与这个联系的实体型的数，,0,0,1
啊实体型的数目。,0,0,1
你比如说刚才我们嗯,0,0,1
这个里边参与这个联系的实体型的数目这是多少？三,0,0,1
嗯三是吧？唉那么我们就称为三元联系啊三元，如果是两个4.2元，,0,0,1
啊这个是一个实体，吧它的度是多少，联系的度是多少，啊参与这个联系实际是不是？啊,0,0,1
好，谢谢。,0,0,1
好，我们再来看啊实体，我们说在鸭脖里边实体用具行通表示,0,0,1
属性，用椭圆表示啊属性用，椭圆表。,0,0,1
嗯那么我们在实际啊建立这个概念模型时候，我们说还会出现一些个,0,0,1
呃不同的一些情况，啊,0,0,1
那么我觉得大家是作为这个专业的学习者，我有义务把这个啊所有,0,0,1
能够出现的这些情况，虽然书上没说，但是我还是要,0,0,2
大家讲，啊比如说大家看这个属性，这个属性有什么不一样，啊这是这是教师是一个实体，,0,0,1
是吧？,0,0,1
它的属性有啊叫是姓名、身份证号、身份证号是马，打了横线、啊工资、生日、职称、性别，,0,0,1
还有地址这个属性上面长了有角色，唉这个我们称为复合属性，,0,0,1
啊也就是说这个属性它有一些值属性组成，地址它由,0,0,1
邮编、市区、单位，单位又有学校和新疆，啊它有很多资格属性的。,0,0,1
那么对于每一位教师，他是不是都在这个地方有右边市区,0,0,1
学校和邮箱，吧是不是券商、吧,0,0,1
唉每一个、教师都有这些事情。那么像这样一个实体带有复合属性的实体，,0,0,1
我们在讲到转换为关系模式的时候，大家想,0,0,1
一个实体我们对应一个关系模式对不对？它是反映一个主题吧教师。吧啊,0,1,0
那么在转换的关系模式的时候，关系名是教师里边的属性，就是名字、身份证号、工资、身份、职称、性别。,0,0,1
到了这个地方的时候，我们说要把所有的直属性提升上来，,0,0,1
让它成为不可再分的单属性是吧？所以到了这个地方性别、,0,0,1
游边、市区、学校、信箱啊这样的，啊但是我们在鸭头里面还是,0,0,1
要画出它是复合循环，把它的直属偏要画出来，啊这这是一种情况。,0,0,1
嗯另外一种情况呢在这个图里边哈我可以看这是我找的一个图，啊实体是喀什,0,0,1
 customer，大家看有Aidid，有姓名，这个姓名是一个什么属性？那刚刚说的,0,0,1
顾客属性是吧？唉 Last first一般我们就,0,0,1
 boss的拉萨他还有个window，啊三个部分组成啊三个部分。好，这里有个地址对吧？,0,1,0
这个地址是什么属性？啊也是复合属性是吧？唉也是复合属性。嗯好，这个呢,0,0,1
这个也是会出现这个双椭圆，注意了双椭圆代表的是,0,0,1
多值属性，啊这里我要讲一下多值。,0,0,1
大家想一想我们生活当中有没有什么属性是物质属性，呢它这里物质属性就是这个泵，,0,0,1
number就是电话对吧？你想对于不同的人，有的人比如说我们学生，啊,0,1,1
有的可能是一个电话一个手机是吧？,0,0,1
唉还有的呢除了手机，它还有固定电话，特别是比如说寝室里边固定电话，啊,0,0,1
嗯在呢有的人他可能像过去我们不知道现在小灵通啊什么大灵通啊是吧？,0,0,1
就是他电话比较多，,0,0,1
所以这个电话注意对于不同的人来说，它可以是,0,0,1
取一个值，也可以取两个值，一个取三个值甚至n个值是吧？,0,0,1
所以它是一种多值属性，嗯,0,0,1
这个电话本身它可以取多个值之后，注意它的复合属性在哪里？,0,0,1
符合属性，对于每一个人他都具备这些直属性，是不是？啊唉但是对于多指属性，每一个人,0,0,1
他的电话个数是不一样的，啊不是说非要三个或者非要两个对吧？,0,1,0
唉可以是一个也可以是的，好，大家试想一下，如果这个电话是多值属性的情况，下嗯,0,0,1
如果这个电话是多次情况下呃情况下，那么我们比如说就拿学生嘛,0,0,1
嗯嗯学生的属性学号型变化，你比如说某个学生张三啊,0,0,1
噢这个学号学号不是上学，学号简单1.00一张三啊电话，,0,0,1
唉比如说唉158什么什么啊有一个啊002:4，他的电话唉,0,0,1
除了手机外还有座机啊还有座机。,0,0,1
第三，啊,0,0,1
唉他可能要多1.3个，啊好在看，由于这个多则属性，你当,0,0,1
当你把它转换成关系模式啊甚至变为二维表的时候，我们看到它出现了行列的焦点是什么？,0,0,1
唉不是唯一之对吧？这个显然是不符合我们对关系的基本要求的，是不是？所以我们,0,1,1
后面会给大家讲到像这种多次属性，我们在转换的关系模式的时候，,0,0,1
啊我们会把这个多次属性单独提取出来，建立一个关系，,0,0,1
那么单独提取出来，呢我们要带上它原来的码，啊比如说学生他还是一个关系，,0,0,1
它保留原来的学号啊姓名啊甚至年龄啊所在系是吧？,0,0,1
就是没有电话啊把电话提取出来，把这个多值属性提取出来，,0,0,1
把这个学好这个码提取出来，除了学生这个关系还建立一个关系，啊,0,0,1
这关系里面大家看学号，啊这个关系里边的码就是由学号和变化两个组成，,0,0,1
那么这个时候学号我可以重复对不对？啊你比如说002这个学生，,0,1,1
唉他的电话是一个是1377，都是一个是87啊666个这个学校还是一个，,0,0,1
懂这个意思没有？,0,0,1
他把两个两个电话分成了两行了吧，,0,0,1
分成了两行，那么像这个王5003三个电话就分成三行，对不对？分成三行它的行列的焦点,0,1,0
是唯一的，吧唉但是呢这个地方是因为它的码是学号和电话是全码的情况，对不对？,0,1,2
全版的情况。那么虽然这里重复这两行是不重复的，吧唉但是你就不能把他拉到学生表里面，,0,0,2
你把它已经还原到学生表里边，学号是马对不对？学好马的话，这个就比较传统,0,1,0
